"ID","Nome","Cognome","Username","Password","Data di nascita","Indirizzo","Ruolo","Latitudine","Longitudine"
"1","Mario","Rossi","mario",59195c6c541c8307f1da2d1e768d6f2280c984df217ad5f4c64c3542b04111a4,"09-05-1991","DE, Via Natale Palli, Cascina Case Nuove, Case Nuove, Somma Lombardo, Varese, Lombardia, 21019, Italia","RISTORATORE","45.6333506","8.7223898"
"2","Paolo","Bianchi","paolo","254835d73cc88095a30fc74133beabe9d8463b2954493227b205ea326c8a9c86","21-09-1984","Via, Via Sant'Agata, Perticato, Mariano Comense, Como, Lombardia, 22066, Italia","RISTORATORE","45.6825825","9.1750586"
"3","Bruno","Barbieri","bruno","ccc68482d9e0eee0789e64c7674421076738f8836857ea89bcd0afb832bf3fc3","12-06-1986","Via, Selinunte, Municipio 7, Milano, Lombardia, 20147, Italia","RISTORATORE","45.4677316","9.1339559"
"4","Carlo","Cracco","carlo",976c49391de9909cda71c0b17f580f9e9c58b6264516ce8466ebd10c24caf0a2,"08-10-1965","Gay, Jackson County, West Virginia, 25244, United States","CLIENTE","38.7706432","-81.5531802"
"5","Joe","Bastianich","joe","78675cc176081372c43abab3ea9fb70c74381eb02dc6e93fb6d44d161da6eeb3","17-09-1962","City of New York,CLIENTE, United States","RISTORATORE","40.7127281","-74.0060152"
"6","Antonino","Cannavacciuolo","antonino","79395ca0a631c4e0a6432c726929f105f097c7c70193ade04192418c7d839392","16-04-1975","Vico Equense, Napoli, Campania, Italia","CLIENTE","40.6623446","14.4264683"
"7","test","test","test","9f86d081884c7d659a2feaa0c55ad015a3bf4f1b2b0b822cd15d6c15b0f00a08","06-08-2025","test, دهستان دودهک, بخش مرکزی, شهرستان دلیجان, استان مرکزی, ایران","CLIENTE","34.0218976","50.6951851"
"8","bob","bob","bob",81b637d8fcd2c6da6359e6963113a1170de795e4b725b84d1e0b4cfd9ec58ce9,"05-08-2025","Bora Bora Airport, Route de Ceinture, Faanui, Bora-Bora, Îles Sous-le-Vent, Polynésie Française, 98730, France","RISTORATORE","-16.4443196","-151.7525635"
"9","bib","bib","bib","9b0dacf2915a82e27366c70600b9c6bca9b61c27b71374f419c27585a7d57c0e","01-08-2025","Baidoa Airport مطار بيدوا, Baidoa Airport Street, Baydhabo, Laanta, Baydhabo بيدوا, Baidoa بيدوا, Bay باي, Koonfur Galbeed جنوب غرب, Soomaaliya الصومال","CLIENTE","3.1035313","43.6287094"
"10","prova","prova","prova","6258a5e0eb772911d4f92be5b5db0e14511edbe01d1d0ddd1d5a2cb9db9a56ba","06-08-2025","Prova, Prova e Casteição, Mêda, Guarda, Portugal","CLIENTE","40.9399825","-7.3286774"
